38914,东帝汶,15232.56389,1
39188,拉脱维亚,216880.7794,4
38991,摩尔多瓦,73439.16232,6
38962,亚美尼亚,50969.45468,9
39212,塔吉克斯坦,232361.2657,12
38904,土库曼斯坦,813877.1123,14
38920,立陶宛,200422.4217,16
38980,马来西亚,329902.7635,19
38924,格鲁吉亚,127181.5838,22
39211,乌兹别克斯坦,777395.9063,23
38878,智利,1226019.105,36
38974,阿塞拜疆,148256.1223,38
38983,日本,594563.7356,41
39181,孟加拉国,156360.2964,45
39219,吉尔吉斯斯坦,355388.2128,65
38960,新西兰,478908.3707,70
39194,乌克兰,1398077.456,142
39227,意大利,563088.3064,333
38993,哈萨克斯坦,6098796.276,339
39231,土耳其,1304414.018,491
39184,波兰,826848.5073,558
38926,印度尼西亚,1870906.762,565
39182,加拿大,49039100.49,769
38922,俄罗斯,82507555.57,4038
